id,Infinitive,Past/simple,Past/participle,translate
160,prove,proved,proved/proven,доводити
161,quit,quit/quitted,quit/quitted,залишати/виходити
162,read,red,red,читати
163,rebind,rebound,rebound,перев'язувати
164,rebuild,rebuilt,rebuilt,перебудувати
165,recast,recast,recast,видозмінювати/перетворювати
166,redo,redid,redone,повторювати зроблене
167,rehear,reheard,reheard,слухати вдруге
168,remake,remade,remade,переробляти
169,rend,rent,rent,розірвати
170,repay,repaid,repaid,віддавати/повертати (борг)
171,resell,resold,resold,перепродавати
172,reset,reset,reset,повертати
173,resit,resat,resat,пересиджувати
174,retake,retook,retaken,забирати
175,retell,retold,retold,переказувати
176,rewrite,rewrote,rewritten,пере(за)писати
177,rid,rid/ridded,rid/ridded,позбавляти
178,ride,rode,ridden,їхати зверху на чомусь
179,ring,rang,rung,дзвонити
180,rise,rose,risen,піднятися
181,rive,rived,riven,розщеплювати
182,run,ran,run,бігти/текти
183,saw,sawed,sawn/sawed,пиляти
184,say,said,said,говорити/сказати
185,see,saw,seen,бачити
186,seek,sought,sought,шукати
187,sell,sold,sold,продавати
188,send,sent,sent,посилати
189,set,set,set,ставити/встановлювати
190,sew,sewed,sewed/sewn,шити
191,shake,shook,shaken,трясти
192,shave,shaved,shavedshaven,голити(ся)
193,shear,sheared,shorn/sheared,стригти
194,shed,shed,shed,проливати
195,shine,shone/shined,shone/shined,світити/сяяти
196,shoe,shod,shod,взувати
197,shoot,shot,shot,стріляти
198,show,showed,shown/showed,показувати
199,shred,shred/shredded,shred/shredded,шматувати
200,shrink,shrank/shrunk,shrunk,стискатися/скорочуватися
201,shrive,shrove/shrived,shriven/shrived,сповідувати
202,shut,shut,shut,закривати
203,sing,sang,sung,співати
204,sink,sank,sunk,опускатися занурюватися тонути
205,sit,sat,sat,сидіти
206,slay,slew,slain,вбивати
207,sleep,slept,slept,спати
208,slide,slid,slid,ковзати
209,sling,slung,slung,кидати/підвішувати
210,slink,slunk,slunk,йти крадучись
211,slit,slit,slit,роздирати/розрізати (вздовж)
212,smell,smelt/smelled,smelt/smelled,пахнути/нюхати
213,smite,smote,smitten,вдаряти/розбивати
214,speak,spoke,spoken,розмовляти
215,spell,spelt/spelled,spell/spelled,писати/читати за буквами
216,spend,spent,spent,витрачати
217,spill,spilt/spilled,spilt/spilled,проливати
218,spin,spun/span,spun,сплести
219,spring,sprang,sprung,схопитися виникнути
220,stand,stood,stood,стояти
221,stave,staved/stove,staved/stove,проламувати/розбивати
222,steal,stole,stolen,красти
223,stick,stuck,stuck,вколоти/приклеїти
224,sting,stung,stung,жалити
225,stink,stank/stunk,stunk,смердіти
226,stride,strode,stridden,боротися
227,strike,struck,struck,вдарити/страйкувати
228,string,strung,strung,нанизати/натягнути
229,strive,strove,striven,намагатися
230,swear,swore,sworn,присягнути
231,sweep,swept,swept,промчатись
232,swell,swelled,swollen/swelled,набухати
233,swim,swam,swum,плавати
234,swing,swung,swung,гойдатися
235,take,took,taken,взяти/брати
236,teach,taught,taught,вчити
237,tear,tore,torn,рвати
238,tell,told,told,розповідати/сказати
239,think,thought,thought,думати
240,thrive,throve/trived,thriven/trived,процвітати
241,throw,threw,thrown,кинути
242,thrust,thrust,thrust,штовхнути/сунути
243,tread,trod,trod/trodden,ступати
244,unbend,unbent,unbent,розігнутися
245,underbid,underbid,underbid,знижувати ціну
246,undercut,undercut,undercut,збивати ціни
247,undergo,underwent,undergone,проходити/піддаватися
248,undersell,undersold,undersold,продавати дешевше
249,understand,understood,understood,розуміти
250,undertake,undertook,undertaken,зробити
251,underwrite,underwrote,underwritten,гарантувати
252,undo,undid,undone,скасувати
253,unfreeze,unfroze,unfrozen,розморожувати
254,unsay,unsaid,unsaid,брати назад свої слова
255,unwind,unwound,unwound,розгортати
256,uphold,upheld,upheld,підтримувати
257,upset,upset,upset,перекинутись
258,wake,woke/waked,woken/waked,прокидатися/будити
259,waylay,waylaid,waylaid,підстерігати
260,wear,wore,worn,носити (одяг)
261,weave,wove/weaved,woven/weaved,ткати
262,wed,wed/wedded,wed/wedded,видавати заміж
263,weep,wept,wept,плакати
264,wet,wet/wetted,wet/wetted,мочити/зволожувати
265,win,won,won,вигравати
266,wind,wound,wound,заводити (механізм)
267,withdraw,withdrew,withdrawn,взяти назад/відкликати
268,withhold,withheld,withheld,утримувати
269,withstand,withstood,withstood,чинити опір
270,work,worked/wrought,worked/wrought,працювати
271,wring,wrung,wrung,скрутити/стиснути
272,write,wrote,written,писати
